City,Area,Latitude,Longitude
Chandigarh,Sector 49,30.6929607,76.75240869999999
Chandigarh,Sector 26,30.7299586,76.8101038
Chandigarh,Sector 21,30.7263907,76.77548999999999
Chandigarh,Sector 11,30.7583236,76.7841443
Chandigarh,Sector 31,30.7020269,76.7805808
Chandigarh,Sector 44,30.7135646,76.7530761
Chandigarh,Sector 5,30.7458145,76.8064986
Chandigarh,Sector 48,30.6879114,76.7581794
Chandigarh,Sector 10,30.7532757,76.7899135
Chandigarh,Sector 17,30.7398339,76.782702
Chandigarh,Sector 30,30.716292,76.78702899999999
Chandigarh,Sector 37,30.7391181,76.7498438
Chandigarh,Sector 14,30.7603533,76.7669528
Chandigarh,Sector 36,30.7327703,76.7552941
Chandigarh,Sector 4,30.7510125,76.8021723
Chandigarh,Sector 12,30.766192,76.7783748
Chandigarh,Sector 42,30.7243726,76.7423094
Chandigarh,Sector 35,30.7261629,76.7596221
Chandigarh,Sector 18,30.7332254,76.78702899999999
Chandigarh,Sector 65,30.6810732,76.7466378
Chandigarh,Sector 46,30.7026207,76.7639499
Chandigarh,Sector 50,30.6999915,76.7532124
Chandigarh,Sector 23,30.7396066,76.766835
Chandigarh,Sector 27,30.7227149,76.7987759
Chandigarh,Sector 8,30.7400589,76.7985669
Chandigarh,Sector 38,30.7454504,76.74448009999999
Chandigarh,Sector 19,30.7282196,76.79322379999999
Chandigarh,Sector 47,30.6947484,76.7697201
Chandigarh,Sector 32,30.709058,76.77439749999999
Chandigarh,Sector 22,30.7339583,76.77261969999999
Chandigarh,Sector 15,30.7514892,76.772605
Chandigarh,Sector 40,30.7394439,76.7379808
Chandigarh,Sector 61,30.7043861,76.7264373
Chandigarh,Sector 29,30.7112416,76.7927981
Chandigarh,Sector 28,30.7180751,76.8043355
Chandigarh,Sector 20,30.7213417,76.7812596
Chandigarh,Sector 7,30.7350091,76.8043355
Chandigarh,Sector 1,30.752535,76.8101038
Chandigarh,Sector 9,30.7466677,76.7942403
Chandigarh,Sector 16,30.7464418,76.7783748
Chandigarh,Sector 70,30.6978446,76.717779
Chandigarh,sector 45,30.7076696,76.7581794
Chandigarh,Sector 6,30.7366797,76.8137088
Chandigarh,Sector 34,30.7195549,76.7639499
