cuisine_id,cuisine_name
1,American
2,Andhra
3,Asian
4,Arabian
5,Bakery
6,Afghani
7,Biryani
10,Bengali
18,Chettinad
22,Burmese
25,Chinese
27,Raw Meats
30,Cafe
35,Continental
38,European
40,Fast Food
47,Goan
49,Hyderabadi
50,North Indian
55,Italian
60,Japanese
62,Kerala
63,Konkan
66,Lebanese
67,Korean
69,Malaysian
70,Mediterranean
72,Mangalorean
73,Mexican
75,Mughlai
82,Pizza
83,Seafood
85,South Indian
87,Portuguese
88,Rajasthani
89,Spanish
90,Street Food
95,Thai
100,Desserts
102,Maharashtrian
137,Middle Eastern
140,Iranian
143,Healthy Food
147,Moroccan
148,Indian
150,Tex-Mex
152,African
154,International
157,Lucknowi
161,Coffee and Tea
163,Tea
164,Juices
168,Burger
177,Sushi
178,Kebab
179,Tapas
193,BBQ
227,Bar Food
231,North Eastern
233,Ice Cream
247,Bubble Tea
270,Beverages
271,Finger Food
274,Fusion
278,Oriental
292,Awadhi
298,Fish and Chips
304,Sandwich
881,Crepes
994,Charcoal Chicken
998,Salad
1005,Roast Chicken
1015,Mithai
1018,Modern Indian
1023,Rolls
1024,Wraps
1026,
1034,Vegan
1039,Cafe Food
1040,Coffee
1048,Paan
1049,Himachali
1051,Momos
